iran ahmad morshedloo s images of people global voices.	ايران احمد مورشيدلو وتصويره للناس الاصوات العالمية
I like your offer.	يعجبني عرضك.
the momentum seems to have been fueled by news that the government may be planning to toughen the tuition policy at public universities.	لقد غذت هذا الزخم اخبار تفيد بان الحكومة تخطط لزيادة رسوم التسجيل في الجامعات العمومية
one day on earth.	يوم واحد على الارض
You can't speak English, can you?	أنتَ لا يمكنك تحدث الإنجليزية, هل يمكنك؟
amin sabeti.	امين سابتي
even iraqi merchants import black clothes more than any other color to meet demands of the marketplace.	حتى التجار العراقيين يستوردون الالبسة السوداء اكثر من اي لون اخر كي يستطيعوا تغطية الطلب في السوق
why are argentinians white.	لماذا الارجنتينيون ذو بشرة بيضاء؟
from our experience reporting on human rights abuses on a daily basis the crimes which remain unaccounted for are the most likely to continue being repeated impunity gives oppressive governments a carte blanche to silence opposition to their policies as we have witnessed in the case of syria and other repressive regimes that is why it is crucial that netizens worldwide stand up to demand protection of online rights and freedoms.	ومن خبرتنا في مراقبة انتهاكات حقوق الانسان بشكل يومي تعتبر الجرايم التي تبقى دون محاسبة هي الاكثر عرضة للتكرار يعطي الافلات من العقوبة تفويض للحكومات القمعية لاسكات المعارضة لسياساتها كما شهدنا في حالة سورية وغيرها من الانظمة القمعية لهذا السبب يجب على مستخدمي الانترنت النهوض للمطالبة بحماية الحقوق الرقمية وحرية الانترنت والحريات
chinese are questioning the government s response to pyongyang s nuclear tests global voices.	الصينيون يتسايلون عن رد فعل حكومتهم تجاه تجارب بيونغ يانغ النووية الاصوات العالمية
I have a dog and a cat.	لدي كلب و قطة.
in modern ghana s nana adjoa hackman suggested a possible solution.	ففي العام اقترحت نانا ادجو هاكمان التي تكتب في موقع مودرن غانا حلا ممكنا
money flies on a building s exterior in caracas venezuela.	نقود تطير على حايط مبنة في كاراكاس فنزويلا
What's that bird called?	ما اسم هذا الطائر؟
education is not for sale.	التعليم ليس للبيع
the world bank has launched mapvietnam an interactive map that shows various socio economic indicators in vietnam such as poverty rates employment and electricity connectivity the photo above shows the number of households living on dollars a day using the map we can see that poverty rates are high in the northern and central parts of the country.	اطلق البنك الدولي مشروع رصد فيتنام خريطة تفاعلية تظهر عدة موشرات اجتماعية اقتصادية في فيتنام مثل معدلات الفقر العمالة ووصول الكهرباء تبين الصورة بالاعلى عدد الاسر التي تعيش على دولارين في اليوم باستخدام الخريطة يمكن ان نرى ارتفاع معدلات الفقر في المناطق الشمالية والوسطى للبلاد
I've studied English for five years.	درست الإنجليزية لمدة خمس سنوات.
the second part of his stage name or sanshain is also a reference to his lineage and is also intended to be a play on words to match his sunny disposition and cheerful blonde hair.	كما يشير الجزء الثاني من اسمه المهني وهو سان شاين الى نسبه كما قصد بالتلاعب في الكلمة لتتوافق مع ملامحه المشمسة وشعره الاشقر المبهج
chinese vessel cosco shipping panama was the first ship that sailed through the newly extended panama canal thus opening traffic into the new locks at agua clara at the atlantic watershed.	وقد وقعت القرعة على السفينة الصينية كوسكو شيبنج بنما لتكون اول سفينة تدشن القناة بعد توسعتها موخرا مما فتح حركة المرور في اهوسة اجوا كلارا الجديدة في مستجمعات المياه في المحيط الاطلسي
dil jan has been a bookseller on the streets of kabul for many years she believes that young afghans must read for themselves and for their nation photo by aaquib khan.	تمارس ديل مهنة بيع الكتب في شوارع كابل منذ عدة اعوام تومن بوجوب اقبال الشباب الافغاني على القراءة لمصلحتهم ولاجل مصلحة بلدهم تصوير عقيب خان
What did you do yesterday?	ماذا فَعَلتَ بِالأمس؟
this is why jewelry lost in lake issyk kul is never found kapalova s tale concludes.	لهذا السبب لا يعثر ابدا على المجوهرات المفقودة في بحيرة ايسيكول هكذا تختتم قصة كابالوفا
He painted the ceiling blue.	طلى السقف باللون الأزرق.
hossein was arrested along with several others in the east azarbaijan province where they were volunteering to help earthquake victims in august he had been released on us bail in july.	اعتقل حسين الى جانب عدد من المتطوعين في محافظة اذربيجان الشرقية على اثر مساعدتهم لضحايا الزلزال الذي وقع في اغسطس اب وقد افرج عنه بكفالة بقيمة دولار امريكي في يوليو
gv how do you manage to stay up to date with all the lingua communities.	الاصوات العالمية كيف تستطيع الالمام بكل ما هو جديد في جميع مجتمعات مشروع لينجوا الاصوات العالمية؟
We really enjoyed ourselves.	أمضينا وقتاً ممتعاً جداً.
bahraini mahmood al yousif brings us the story of maya whose marriage in india and conversion into hinduism led the bahraini authorities to confiscate her passport.	المدون البحريني محمود اليوسف يطلعنا على قصة انكليزي مايا التي تسبب زواجها في الهند واعتناقها الهندوسية بمصادرة جواز سفرها من قبل السلطات البحرينية
I have to go.	يجب أن أذهب.
author manal al sharif credit courtesy of simon and schuster.	الكاتبة منال الشريف الحقوق لسيمون وسشستر
arab bloggers meet in tunis global voices.	الملتقى الثالث للمدونين العرب في تونس الاصوات العالمية
journey to bangladesh uploaded a video on youtube showing the floating markets and guava gardens in barisal backwaters.	نجد في يوتيوب فيديو من ايبين سفرة الى بنغلاديش حيث يعرض الاسواق العايمة وحدايق الجوافة في بركة باريسال
most iranian internet users would this is welcome news but will it make any real difference to iranians what services ought to be on the list and what do iranians in iran think about it.	يفترض على معظم مستخدمي الانترنت الايرانيون الترحيب بهذا الخبر لكن هل سيشكل اي فرق بالنسبة للايرانيين؟ ما هي الخدمات التي يجب ان تكون في اللايحة؟ وماذا يعتقد الايرانيون في ايران بشانها؟
The snow has disappeared.	اختفى الثلج.
in tunis policemen dressed as civilians and law enforcement agents besieged the palace of justice they prevented some lawyers from entering the area and let others in when the lawyers attempted to leave the court house where they gathered police forces intervened and used violence.	ولم يود الخطاب التليفزيوني المفاجي الذي القاه بن علي فيديو او التغيير الحكومي الي النتايج المتوقعة ففي واحدة من اكثر التدوينات الشهيرة الاكثر مشاركة على تويتر وفيسبوك قام رجل اعمال تونسي شاب بكتابة خطاب عام
I just got my textbooks for this semester.	الآن حصلت على كتب هذا الفصل.
She is loved by everyone.	الجميع يحبها.
people may be too embarrassed to openly talk about it but everyone does it toilet or not world toilet day helps people celebrate the importance of sanitation and raise awareness for the billion people who don t have access to toilets and proper sanitation this video by the nonprofit wateraid highlights the luxury of having a toilet.	قد يشعر الناس بالاحراج من الحديث حول ذلك في العلن لكن الجميع يويدون وجود المرحاض قضية جوهرية ان تكون او لا تكون اليوم العالمي للمرحاض يوضح اهمية الصرف الصحي ويرفع الوعي حول وجود مليار انسان يعيشون دون امكانية الوصول الى المرحاض او شبكة صرف صحي مناسبة هذا الفيديو من منظمة الغير ربحية يسلط الضوء على الترف الذي نحصل عليه من خلال وجود المرحاض
They shared the money.	إنهم إقتسموا المال.
according to an announcement on march these services include yahoo messanger google talk skype non fee based acrobat reader flashplayer java and googlechrome firefox and internet explorer.	حسب اعلان في مارس تشمل الخدمات ياهو مسنجر وجوجل توك وسكايب النسخة المجانية واكروبات ريدر وفلاش بلاير وجافا وجوجل كروم وفايرفوكس وانترنت اكسبلورر
israel storing water for emergencies global voices.	اسراييل تخزين المياه للطواري الاصوات العالمية
lebanon round up of the lebanese blogosphere global voices.	لبنان جمع من المدونات اللبنانية الاصوات العالمية
Pickpockets target tourists.	النشالون يستهدفون السياح .
Put on your cap.	البس قبّعتك.
while i understand that some people find the thought of gay relationships and physical sex abhorrent i don t understand the level of hatred that they express breezeblog thinks that bermuda s current attitude to gay rights is a sad and unacceptable state of affairs.	بينما اتفهم موقف وفكر بعض الناس من التقزز والاشميزاز من العلاقات المثلية لا افهم درجة الكراهية التي يظهروها ترى مدونة برييز ان موقف وسياسة برمودا تجاه حقوق المثلية امر محزن وغير مقبول
i couldn t help making a little illustration of this beautiful hashtag created by my beloved mexicans on twitter thanks for this gesture and for your support i love you.	لا يمكنني الا اعلق تعليقا بسيطا على هذا الوسم الجميل الذي اطلقه احبايي المكسيكيون على تويتر شكرا لتلك الروح وشكرا لدعمكم احبكم
She took her own life.	قتلت نفسها.
Goodbye!	مع السلامة.
He lost his job.	فقد عمله.
He looks suspicious.	يبدو مريباً.
afghanistan from life of fear to life of freedom global voices.	افغانستان من حياة الخوف الى حياة الحرية الاصوات العالمية
I don't speak Japanese.	لا يمكنني تحدث اليابانية.
Tom thought he had all the time in the world.	يعتقد توم انه كان في كل وقت في العالم.
Tom hates shopping.	يكره توم التسوق.
You can rely on her.	بإمكانك أن تعتمد عليها.
My friend doesn't play tennis.	صديقي لا يلعب كرة المضرب.
You have better sight than me.	أنتِ لديكِ رؤية أفضل منى؟
I am coming.	أنا آتٍ.
yet the power of engaging in deep conversations reading good literature swimming observing nature s beauty like his fascination with dragonflies and acting in theatre performances are all expressions that give his life meaning and make him feel defined don t forget to enjoy your day al halabi told syriauntold that s more important than this article anyway.	غير ان القدرة على المشاركة في حوارات عميقة قراءة الادب القيم السباحة مراقبة جمال الطبيعة كافتتانه باليعاسيب والتمثيل في العروض المسرحية كلها تعبيرات تضفي معنى لحياته وتشعره بكونه معرفا لا تنس الاستمتاع بيومك قال الحلبي لحكاية ما انحكت فهذا اهم من هذه المقالة علي اي حال
many chilean and latin american blogs are republishing john dinges articles as a way of spreading the information.	ويقوم العديد من المدونين التشيليين ومن امريكا اللاتينية باعادة نشر مقالات جون دينجس كوسيلة لنشر هذه المعلومة
i m with the press i replied.	اجبت مع الصحافة
I am from Norway.	أنا من النرويج.
He paid no attention to my advice.	لم يعر أي اهتمام لنصيحتي.
catherine ashcroft s garage has become a deposit point for donations photo noon arabia.	تحول مراب كاثرين اشكروفت الى مستودع لجمع التبرعات الصورة نون عربية
peru police and protesters clash in laparada market in lima global voices.	بيرو اشتباكات بين الشرطة والمحتجين في سوق لابارادا بليما الاصوات العالمية
Your dog is very fat.	كلبك سمين للغاية.
He witnessed the murder.	شهد حصول الجريمة.
Don't worry. I'll stay with you.	لا تقلق. أنا سأبقى معك..
sven holler from ministry of tofu posts pictures of an abandoned amusement park wonderland at the outskirts of beijing city.	قام سفين هولير من مدونة مينستري اوف توفو برفع مجموعة من الصور لمدينة ملاهي مهجورة ارض العجايب في ضواحي مدينة بيكين
and finally from the queen s kingdom jansait posted the video which the queen released on the occasion and wrote this one line.	اخيرا من مملكة الملكة نشرت جاناسيت مقطع الفيديو الذي اطلقته الملكة ضمن المناسبة وكتبت هذا السطر
popular journalist amr tweeted.	الاعداد تدخل في الالاف و الزيير الشعب يريد اسقاط النظام عند النقابة عواد باع ارضه
he sings well really well if he wasn t president he could have become a pop star and sing at weddings.	يغني بشكل جيد جيد بالفعل لو لم يكن رييسا لكان نجم بوب او يحترف الغناء في حفلات الزفاف
ranwayehia these are the first comments by syrian blogger marcell shehwaro after the martyrdom of her mother who was killed by the syrian regime s bullets last night all the time i expected the situation to be the opposite.	١ ٢ اول تعليق للمدونة السورية مارسيل شحوارو بعد استشهاد والدتها برصاص النظام ليلة البارحة في حلب كل الوقت كنت متوقعة الموقف يكون بالعكس
Tom told me that we were out of time.	أخبرني توم أن الوقت نَفَذَ منّا.
Tom wants to come.	توم يريد ان يأتي.
You must find work.	أنتَ لابد أن تجد عملاً.
we re all poor guys.	نحن كلنا شباب فقراء
literature in the spanish language during colonial times quickly began its particular development literature from the time of the conquest is mostly in the form of verse and romances poking fun especially at those who governed and those around them while that from the colonial period comprises texts urging liberty and inciting revolution.	الادب في اللغة الاسبانية خلال الحقبة الاستعمارية سرعان ما بدات تطورها الخاص الادب من وقت الغزو هو في معظمه في شكل مقاطع شعرية ورومانسيات تندرت خصوصا على اوليك الذين حكمت والمحيطين بهم في حين ان من الفترة الاستعمارية تضم النصوص تحث على الحرية والتحريض على الثورة
two investigations were opened in pescara to discover whether aid was administered in the proper manner the first question is why the medics brought the defibrillator onto the field but did not appear to use it another inquiry is focused on the timing of the ambulance which left for the hospital six minutes and seconds after morosini s heart attack.	فتح تحقيقان في بيسكارا لمعرفة ما اذا كانت المعونة الطبية قدمت بشكل سليم ام لا كان اول سوال هو لماذا جلب المسعفون جهاز ازالة الرجفان الى الملعب لكن لم يبدوا انهم استخدموه يركز التحقيق الاخر على توقيت سيارة الاسعاف التي غادرت باتجاه المستشفى بعد دقايق و ثانية من تعرض موروسيني الى السكتة القلبية
Take this chair. It's sturdy.	خذ هذا الكرسي فهو صلب.
local media are right to make the public aware of the threat of hepatitis however our argument is that local news stories are overlooking the fact that hepatitis prevalence is declining this may be due to the fact that local information on the prevalence of hepatitis is harder to obtain than data on hiv aids making comparison difficult.	وتمتلك وسايل الاعلام المحلية كل الحق في توعية العامة بخطر فيروس التهاب الكبد لكن قضيتنا تتلخص في ان اخبار وسايل الاعلام المحلية تتجاهل حقيقة انخفاض نسبة تفشي فيروس التهاب الكبد ولربما كان هذا بسبب صعوبة حصول وسايل الاعلام المحلية على معلومات تتعلق بتفشي فيروس التهاب الكبد عنها في مرض نقص المناعة البشري الايدز مما يجعل المقارنة بينهما صعبة
fantasia s world also wrote about noha s case.	كتبت عالم فانتازيا ايضا عن قضية نهى
You should sleep.	يَنْبَغِيْ أَنْ تَنَام.
video of flooding in central myanmar global voices.	فيديو لفيضان في وسط ميانامار الاصوات العالمية
the vision of the project is to preserve the malian cultural heritage to create a point of reference for young generations and to make this heritage accessible to all people around the world through a blog and social networks.	ويهدف المشروع الى حفظ التراث الثقافي المالي وخلق نقطة مرجعية للاجيال الشابة ويسمح كذلك بجعل هذا التراث متاحا للجميع في انحاء العالم عبر مدونة المشروع والشبكات الاجتماعية
Do you have a driver's license?	هل تملك رخصة قيادة؟
yes there are two ngos the first one hepasist has contacts and influence to make some changes in the health care system and practices in bulgaria.	نعم يوجد منظمتان الاولى هيبا ستيس بالبلغارية تملك ارتباطات ونفوذ تحاول احداث تغيرات في نظام الرعاية الصحية والعيادات في بلغاريا
maldives inhumane treatment of migrant workers global voices.	المالديفز معاملة غير انسانيه للعمال الوافدين الاصوات العالمية
Do you have any idea why Tom doesn't like me?	هل لديك أدنی فكرة عن سبب كره "توم" لي ؟
I'm sure I'll find a good gift for Tom.	أنا متأكد أني سأجد هدية جيدة لتوم.
She was almost late for school.	كادت أن تتأخر عن المدرسة.
well it did not take too long for isabella to find out what this grandmother business was about together with a friend her daughter had adopted a child his name is miguel from the democratic republic and i am sure it must be the congo when she did she decided to support her daughter i was years older than she is now when i had such dreams and there was not a soul to encourage me she says.	حسنا لم يمض الكثير من الوقت حتى اكتشفت ايزابيلا ما هو موضوع الجدة هذا فبالتعاون مع صديق قامت ابنتها بتبني طفل اسمه ميغيل وهو من الجمهورية الديمقراطية وانا متاكدة من انها الكونغو عندما فعلت شييا قررت ان تدعم ابنتها وقالت كنت اكبر منها بست سنوات عندما كانت تراودني احلام كهذه ولم يكن هناك من احد ليشجعني
wanna learn the khmer language check out this audio dictionary global voices.	هل ترغب في تعلم اللغة الخميرية؟ جرب هذا القاموس الصوتي الاصوات العالمية
jordan queen rania on twitter global voices.	الاردن الملكة رانيا على تويتر الاصوات العالمية
protest back on inside district wad nubawi fighting back police cars in sideroads firing tear gas houses.	تراجعت المظاهرة الى الحي واد نوباوي قاومت سيارات الشرطة كانت في الشوارع الجانبية وتطلق الغازات المسيلة للدموع على المنازل
This is smaller than that.	هذا أصغر من ذاك.
I think she is very attractive.	أعتقد أنها جذابةً جداً.
developed as a project of the u s naval research laboratory more than a decade ago tor anonymizes internet traffic by sending it through a unique configuration of nodes known as an onion routing system now in the hands of a nonprofit group the project continues to receive federal funding but boasts approximately million users worldwide among them many tech savvy digital activists in countries where technical censorship and surveillance are prevalent even the u s state department supports programs that train foreign political activists to use tor to protect themselves from the watchful eyes of authoritarian governments.	وضع كمشروع من مختبر بحوث البحرية الامريكية منذ اكثر من عقد من الزمن تور يخفي حركة المرور عبر الانترنت عن طريق توجيهها من خلال تشكيل فريد من العقد المعروفة باسم نظام التوجيه البصلي تقوم على تسيير هذا المشروع مجموعة غير ربحية وهو يحصل على تمويل من الحكومة الاتحادية ويضم ما يقرب من اربعة ملايين مستخدم في جميع انحاء العالم من بينهم العديد من النشطاء الرقميين البارعين في الامور التكنولوجية في بلدان حيث الرقابة هي السايدة حتى ان وزارة الخارجية الامريكية تدعم برامج تدريب الناشطين السياسيين الاجانب لاستخدام تور لحماية انفسهم من اعين الحكومات الاستبدادية
Tom brushes his teeth at least three times a day.	توم ينظف أسنانه بالفرشاة ثلاث مرات على الأقل يومياَ
She doesn't want me to speak about this issue.	هي لا تريد مني التحدث عن هذه المسألة.
new blog celebrates sri lanka s diversity global voices.	مدونة جديدة تحتفي بالتنوع العرقي في سريلانكا الاصوات العالمية
lebanon awaiting the pope s visit in september global voices.	لبنان في انتظار زيارة البابا في سبتمبر الاصوات العالمية
in a country that has been a battlefield for so long the main means of survival is still petty trading an old man with a skull cap sits at a makeshift currency exchange while others sit in sun demand for currency exchanges are high across kabul due to the presence of foreigners working in the country photo by aaquib khan.	في بلد عانى من المعارك لفترات طويلة لا تزال التجارة الصغيرة وسيلة كسب العيش الرييسية رجل مسن ييقوم بتغيير العملات بينما يجلس الباقون في الشمس الطلب متزايد على تغيير العملات في كابل لوجود العديد من الاجانب العاملين في البلاد تصوير عقيب خان
She is happy.	هي سعيدة
I'm going to stay home tonight.	سأبقی في المنزل الليلة.
and if you don t have an ios or android device don t feel left out uploads to commons for a wider selection of phones and browsers are supported on the mobile version of all wikimedia projects.	اذا كنتم لا تملكون اجهزة اي او اس او اندرويد لا تقلقوا فلم ننساكم يمكنكم دوما رفع ملفاتكم عبر نسخة الجوال لجميع مشاريع ويكيميديا الداعمة لمختلف انظمة الهواتف المحمولة
Do it right away.	أفعله مباشرة
a sign at the istanbul anti war protest which reads hands off syria shared by cherine on twitter reposted with permission.	لافتة من مظاهرة اسطنبول المناهضة للحرب والتي مكتوب فيها ارفعوا ايديكم عن سوريا من حساب على تويتر نشرت بعد اخذ موافقتها
I never actually wanted to go there.	لم أرغب ابدا في الواقع أن أذهب إلى هناك.
music credits.	نسب الموسيقى
My mother is making a cake for my father.	تعد أمي كعكة لأبي.
kuwait dedicated post global voices.	الكويت اهداء تدوينة الاصوات العالمية
egypt sad day for syria global voices.	مصر يوم حزين لسوريا الاصوات العالمية
This is an automatic door.	هذا الباب أوتوماتيكي.
china is set to pass the united states in numbers of skyscrapers according to motiancity a research organization in china currently there are skyscrapers in china under construction and in planning by the number of skyscrapers in china will reach compared to in the us.	من المتوقع ان تتخطى الصين الولايات المتحدة في عدد ناطحات السحاب وفقا لموشان سيتي منظمة بحثية في الصين يوجد حاليا ناطحة سحاب في الصين تحت الانشاء و يجري التخطيط لانشايهم بحلول عام يتوقع ان يصل عدد ناطحات السحاب في الصين الى مقارنة ب في الولايات المتحدة
of the polled journalists who reported that they were attacked by security forces said they did not receive any apology from the police or the ministry of interior furthermore only of the perpetrators were administratively punished.	بينما قال من الصحفيين المشاركين في الاستطلاع والذين تعرضوا لاعتداءات من قبل القوات الامنية انهم لم يتلقوا اي اعتذار من قبل الشرطة او وزير الداخلية فى الوقت الذي يرى فيه فقط من المشاركين انه تمت معاقبة الجناة اداريا
I worked hard last month.	عملت بجد الشهر الماضي.
with the hashtag malldecastro es chilean netizens are reacting to a project to build a mall in castro chiloe in an archipelago in southern chile gerardo espindola of mi voz wrote a post es on the project showing pictures of the mall s current state el repuertero a citizen newspaper of mi voz also posts pictures es of the mall altered by twitter users to show their discontent with the project.	مستخدمين هاش تاج بالاسبانية يتفاعل مستخدمي الانترنت في شيلي مع مشروع بناء مول تجاري في كاسترو بجزيرة شيلوي في ارشيبيلاجو جنوب شيلي كتب جيراردو اسبيندولا على موقع مي فوز عن المشروع عارضا صور للمول بحالته الحالية كما نشرت ال ريبيرتو جريدة على الانترنت تابعة ل مي فوز صور معدلة للمول اعدها بعض مستخدمي تويتر لاظهار استياءهم من المشروع
Is everything all right?	هل كل شيء على ما يرام؟
fear is counter productive when kids are afraid they shut down when you use it to intimidate children all they hear is the anger not anything you might be trying to say i choose love over fear.	الخوف غير منتج عندما يخاف الاطفال يقفون عن العمل ان لجوءك الى ترهيب الاطفال يصمهم عن سماع ما تريد قوله الشيء الوحيد الذي يسمعوه هو الغضب افضل الحب على الخوف
when both the uber and careem apps were taken down for a couple of days i went insane i couldn t go anywhere there would be yellow taxi cabs right outside my house but i still wouldn t get into them i let my dad drive me around until the apps were back up.	عندما تم حجب كريم واوبر لعدة ايام اصبت بالجنون لم استطع الذهاب الى اي مكان ارى سيارات التاكسي خارج منزلي لكني احجم عن استخدامها اعتمدت على ابي في توصيلي حتى عودة التطبيقات
thousands protest against war on syria in istanbul photo shared by zappika on twitter.	الاف المحتجين على الحرب مع سوريا في اسطنبول الصورة من حساب على تويتر
why don t belarusians speak belarusian.	لماذا لايتحدث البيلاروسيون البيلاروسية؟
What did you major in at college?	ما الشهادة التي تخرجت بها من الجامعة؟
the rice joins a growing list of food scares to hit china in recent years earlier this month it was revealed that rat and fox meat was sold as lamb in the shanghai and jiangsu.	ينضم الارز الى قايمة متزايدة من الاغذية المثيرة للذعر التي اجتاحت الصين في السنوات الاخيرة لقد تم الكشف في وقت لاحق من هذا الشهر على انه يتم بيع لحم الفيران والثعالب كلحم غنم في كل من شانغهاي وجيانغسو
I want you.	أريدك.
hungary speeding through new constitution global voices.	المجر هل يبصر الدستور الجديد النور في وقت قريب؟ الاصوات العالمية
How should I know?	كيف لي أن أعرف؟
I like the Japanese language very much.	تعجبني اللغة اليابانية كثيرا.
two months after the recent elections italy has a new government and cecile kyenge years old an eye surgeon and congo born italian citizen is the new minister for integration in the cabinet of prime minister enrico letta.	بعد شهرين من الانتخابات الاخيرة ايطاليا لديها حكومة جديدة ومواطنة ايطالية كونغولية المولد وجراحة عيون سيسيليا كيينكي عاما كوزيرة جديدة في حكومة الوزير الاول انريكو ليتا
thecarol adds.	يضيف
There was a light rain yesterday.	أمطرت مطراً خفيفاً البارحة.
It will rain tonight.	ستمطر الليلة.
You're right.	أنت محقّ.
let s all go tomorrow and support our friends and teachers at the strike.	فلنتوجه جميعنا غدا الى الجامعة لدعم اصدقاينا ومعلمينا في اضرابهم
the delegates from the countries that participated in the first world humanitarian summit held in istanbul last month could not have been more full of good intentions the summit was an opportunity to highlight the remarkable work done by certain countries including in the area of receiving and integrating refugees which is often ignored in the international mass media uganda was one of the stars of the summit for its achievements when it comes to hosting refugees.	لم يتوقع الممثلون عن دولة مشاركة في القمة الانسانية العالمية الاولى التي عقدت في اسطنبول الشهر الماضي ان تكون الاخبار جيدة لهذه الدرجة جاءت القمة كفرصة لتوضيح الاعمال المتميزة التي انجزتها دول معينة فيما يخص استقبال اللاجيين الذين يتم تجاهلهم باستمرار من وسايل الاعلام الدولية ومساعدتهم على الاندماج بالنظر الى جهودها في ايواء اللاجيين تعد اوغندا واحدة من نجوم هذه القمة
on our way to the port of veracruz we stopped at yanga and saw the agricultural fields full of cana and corn surrounding the area also rich in coffee plantations the tropical weather invites you to be outside under the sun s open arms.	في طريقنا لميناء فيراكروز توقفنا في مدينة يانغا وراينا الحقول الزراعية المليية بنباتات قصب السكر والذرة التي تحيط بالمنطقة والتي تنتشر فيها ايضا مزارع القهوة يدعوك الطقس الاستوايي الى الخروح الى الاماكن المفتوحة والاستمتاع باشعة الشمس المباشرة
i guess it s only a matter of time before qaddafi finds the fan page i made for him and takes over.	وكتب كمال الاسمر من مدونة كيرميت المدونة قايلا
the blogger continues.	يتابع المدون
He is suffering from a cold.	يعاني من البرد
It's too hot.	إنه ساخن جداً.
Will you go with Tom?	هل ستذهب مع توم؟
islam katimov the veteran leader of uzbekistan prefers not to sing in public he does dance however.	اسلام كريموف رييس اوزباكستان الصعب ازاحته يفضل عدم الغناء لكنه يرقص
You must help her.	عليك أن تساعدها.
I'm tired.	أنا متعب.
A good idea occurred to me.	خطر لي فكرة جيدة.
syria.	سوريا
Tom pushed Mary down the stairs.	دفع توم ماري من على الدرج.
online reporting of bribery in thailand global voices.	الابلاغ عن الرشاوي عبر الانترنت في تايلاند الاصوات العالمية
You understand me.	أنت تفهمني
moadaldabbagh meanwhile in st century saudi arabia.	في هذا الوقت من القرن الواحد والعشرين السعودية
the cabanellas palace at the corner of sarmiento and san luis art nouveau or modernisme according to catalans the building was designed by francesc roca i simo who came from majorca and barcelona to rosario in the early twentieth century he stayed in rosario less than a decade and never stopped planning lavish buildings like this one.	يقع قصر كابانياس عند زاوية سارمينتو وسان لويز وهو يتبع طراز ارت نوفو او موديرنيزم وفقا للكتالان تم تصميم المبنى بواسطة المعماري فرانشيسكو روكا اي سيمو الذي جاء من ميورقة جزيرة اسبانية ومن برشلونة الى روساريو في مطلع القرن العشرين وظل في روساريو اقل من عقد ولم يتوقف قط عن تخطيط وتصميم مباني مدهشة ورايعة مثل هذا المبنى
rising voices when the village awakes a new malian culture blog.	عندما تستيقظ القرية موقع جديد لمشاركة الثقافة في مالي الاصوات العالمية
this will be the first time the conference is held in east africa and many of us in the region definitely wish to extend a warm welcome karibu swahili to our visitors at the event.	تعد هذه المرة الاولى التي يعقد فيها الموتمر في شرق افريقيا ويرغب الكثيرون منا في المنطقة ان يوجهون خالص الترحيب لزوارنا كاريبو بالسواحيلي
Children love dogs.	الأطفال يحبّون الكلاب.
they shout a slogan which translates as one afghanistan no tajik no hazara no pashtun.	يصيحون بشعار ترجمته افغانستان واحدة لا طاجيك لا هزارة لا بشتون
Tom is getting married on Monday.	سيتزوج توم يوم الاثنين.
Tom hid the book under his pillow.	أخفى توم الكتاب تحت الوسادة.
Tom is one of our best detectives.	توم واحد من أفضل محققينا.
Tom and Mary have a small farm.	لتوم وماري مزرعة صغيرة.
wild at heart calls for donation to save the endangered pink dolphins near the taiwan sea.	تنادي للتبرع من اجل انقاذ الدلافين وردية اللون المهددة بالانقراض بالقرب من بحر تايوان
The castle is beautiful.	هذه القلعة جميلة.
He stayed awake all night wondering why the deal went wrong.	بقى متسيقظاً طوال الليل متسائلاً لماذا فشلت الصفقة.
Are you coming or not?	هل ستأتي أم لا؟
They fell one after another.	وقعوا واحداً تلو الآخر.
Do what Tom tells you to do and everything will be fine.	إفعلي ما يخبركِ توم به لتفعليه وكل شئ سيكون بخير.
asraranwar watching protesters in iraq clean up their rubbish egypt has been a good influence on everyone egypt jan feb.	مشاهدة المتظاهرين العراقيين وهم يزيلون المخلفات الخاصة بهم مصر تركت تاثيرا كبيرا علينا
How many close friends do you have?	كم عندك من الأصدقاء المُقَرّبين؟
in turkmenistan it is impossible to forget who the leader of the country is as neweurasia net s annasoltan shows through screen captures of turkmenistani state tv his posters are literally everywhere.	في تركمانستان من المستحيل ان تنسى من هو زعيم البلاد حيث تعرض اناسولتان في نيو اوراسيا دوت نت من خلال لقطات مصورة من شاشة التلفزيون التركمانستاني الحكومي ان صوره حرفيا توجد في كل مكان
the work action days in kraljevo begin at in the morning and end at in the evening with visits to cultural institutions meals an some entertainment during the work day.	ايام العمل التطوعي في كرالييفو تبدا في تمام الساعة ٥ ٣٠ صباحا وتنتهي في ١٠ مساء يتخللها زيارات للموسسات الثقافية ووجبات طعام وبعض الترفيه اثناء العمل
the day it happened.	يوم الحادثة
rv what are the most significant obstacles you faced during implementing the project.	الاصوات الصاعدة ما هي المعوقات التي واجهتكم خلال تنفيذ المشروع؟
I love her.	أحبها.
Tom understands.	توم يفهم
They come from Sweden.	هم من السويد
although not its primary objective the afripedia project aims to promote access to online content to the greatest number of users who do not have reliable internet access and can also contribute to a greater use of african languages in the field of new technology of information and communcation ntic.	ورغم ان هذا ليس هدفها الرييسي الا ان مشروع موسوعة افريبديا يسعى لتشجيع وصول اكبر عدد من المستخدمين الذين ليس لديهم قدرة للاتصال بالانترنت بشكل دايم للمحتوى المتاح عبر الانترنت كما يمكنهم ايضا المساهمة في توسيع استخدام للغات الافريقية في مجال التكنولوجيا الجديدة للمعلومات والاتصالات
lc do you know others that are police officers of color.	لوسيا هل تعرفين ضباط شرطة اخرين ذوي بشرة داكنة؟
